Election_Date,Circoscrizione,Provincia,Comune
1963-04-28,TORINO-NOVARA-VERCELLI,NOVARA,CAVAGLIO-SPOCCIA
1963-04-28,GENOVA-IMPERIA-LA SPEZIA-SAVONA,GENOVA,FAVALE DI MALVARO
1963-04-28,TORINO-NOVARA-VERCELLI,VERCELLI,VILLARBOIT
1963-04-28,TORINO-NOVARA-VERCELLI,VERCELLI,VILLATA
1963-04-28,CUNEO-ALESSANDRIA-ASTI,ALESSANDRIA,CERRETO GRUE
1963-04-28,TORINO-NOVARA-VERCELLI,NOVARA,BOLZANO NOVARESE
1963-04-28,TORINO-NOVARA-VERCELLI,NOVARA,BORGOLAVEZZARO
1963-04-28,TORINO-NOVARA-VERCELLI,TORINO,VIDRACCO
1963-04-28,TORINO-NOVARA-VERCELLI,TORINO,VIGONE
1963-04-28,TORINO-NOVARA-VERCELLI,TORINO,VILLAFRANCA PIEMONTE
1963-04-28,TORINO-NOVARA-VERCELLI,TORINO,VILLANOVA CANAVESE
1963-04-28,TORINO-NOVARA-VERCELLI,TORINO,VILLARBASSE
1963-04-28,TORINO-NOVARA-VERCELLI,TORINO,VILLAR DORA
1963-04-28,TORINO-NOVARA-VERCELLI,TORINO,VILLAREGGIA
1963-04-28,TORINO-NOVARA-VERCELLI,TORINO,VILLAR FOCCHIARDO
1963-04-28,TORINO-NOVARA-VERCELLI,TORINO,VILLAR PELLICE
1963-04-28,TORINO-NOVARA-VERCELLI,TORINO,VAUDA CANAVESE
1963-04-28,TORINO-NOVARA-VERCELLI,TORINO,VENALZIO
1963-04-28,TORINO-NOVARA-VERCELLI,TORINO,VENARIA
1963-04-28,TORINO-NOVARA-VERCELLI,TORINO,VEROLENGO
1963-04-28,TORINO-NOVARA-VERCELLI,TORINO,VERRUA SAVOIA
1963-04-28,TORINO-NOVARA-VERCELLI,TORINO,CARMAGNOLA
1963-04-28,TORINO-NOVARA-VERCELLI,TORINO,CASALBORGONE
1963-04-28,TORINO-NOVARA-VERCELLI,TORINO,CASCINETTE D'IVREA
1963-04-28,TORINO-NOVARA-VERCELLI,TORINO,CASELETTE
1963-04-28,TORINO-NOVARA-VERCELLI,TORINO,CASELLE TORINESE
1963-04-28,TORINO-NOVARA-VERCELLI,TORINO,CASTAGNETO PO
1963-04-28,TORINO-NOVARA-VERCELLI,TORINO,CASTAGNOLE PIEMONTE
1963-04-28,TORINO-NOVARA-VERCELLI,TORINO,CASTELLAMONTE
1963-04-28,TORINO-NOVARA-VERCELLI,VERCELLI,PIODE
1963-04-28,TORINO-NOVARA-VERCELLI,VERCELLI,PISTOLESA
1963-04-28,TORINO-NOVARA-VERCELLI,VERCELLI,TERNENGO
1963-04-28,TORINO-NOVARA-VERCELLI,VERCELLI,TOLLEGNO
