Election_Date,Circoscrizione,Provincia,Comune
1968-05-19,BRESCIA-BERGAMO,BERGAMO,CALOLZIOCORTE
1968-05-19,BRESCIA-BERGAMO,BERGAMO,CALUSCO D'ADDA
1968-05-19,COMO-SONDRIO-VARESE,COMO,GARBAGNATE MONASTERO
1968-05-19,COMO-SONDRIO-VARESE,COMO,LAINO
1968-05-19,COMO-SONDRIO-VARESE,COMO,LAMBRUGO
1968-05-19,COMO-SONDRIO-VARESE,COMO,LECCO
1968-05-19,COMO-SONDRIO-VARESE,COMO,LENNO
1968-05-19,COMO-SONDRIO-VARESE,COMO,LEZZENO
1968-05-19,COMO-SONDRIO-VARESE,COMO,LIERNA
1968-05-19,COMO-SONDRIO-VARESE,COMO,LIMIDO COMASCO
1968-05-19,COMO-SONDRIO-VARESE,COMO,LIPOMO
1968-05-19,COMO-SONDRIO-VARESE,COMO,LIVO
1968-05-19,COMO-SONDRIO-VARESE,COMO,LOCATE VARESINO
1968-05-19,COMO-SONDRIO-VARESE,COMO,LOMAGNA
1968-05-19,COMO-SONDRIO-VARESE,COMO,LOMAZZO
1968-05-19,COMO-SONDRIO-VARESE,COMO,LONGONE AL SEGRINO
1968-05-19,COMO-SONDRIO-VARESE,COMO,LUISAGO
1968-05-19,COMO-SONDRIO-VARESE,COMO,LURAGO D'ERBA
1968-05-19,COMO-SONDRIO-VARESE,COMO,LURAGO MARINONE
1968-05-19,COMO-SONDRIO-VARESE,COMO,LURATE CACCIVIO
1968-05-19,COMO-SONDRIO-VARESE,COMO,MAGREGLIO
1968-05-19,COMO-SONDRIO-VARESE,COMO,LANZO D'INTELVI
1968-05-19,COMO-SONDRIO-VARESE,COMO,GERA LARIO
1968-05-19,COMO-SONDRIO-VARESE,COMO,GERMASINO
1968-05-19,COMO-SONDRIO-VARESE,COMO,GIRONICO
1968-05-19,COMO-SONDRIO-VARESE,COMO,GRANDATE
1968-05-19,COMO-SONDRIO-VARESE,COMO,GRANDOLA ED UNITI
1968-05-19,COMO-SONDRIO-VARESE,COMO,GRAVEDONA
1968-05-19,COMO-SONDRIO-VARESE,COMO,GRIANTE
1968-05-19,COMO-SONDRIO-VARESE,COMO,GUANZATE
1968-05-19,COMO-SONDRIO-VARESE,COMO,IMBERSAGO
1968-05-19,COMO-SONDRIO-VARESE,COMO,INTROBIO
1968-05-19,COMO-SONDRIO-VARESE,COMO,INTROZZO
1968-05-19,COMO-SONDRIO-VARESE,COMO,INVERIGO
1968-05-19,COMO-SONDRIO-VARESE,COMO,FALOPPIO
1968-05-19,COMO-SONDRIO-VARESE,COMO,LAGLIO
1968-05-19,COMO-SONDRIO-VARESE,COMO,GARLATE
1968-05-19,COMO-SONDRIO-VARESE,COMO,FENEGRO'
1968-05-19,COMO-SONDRIO-VARESE,COMO,FIGINO SERENZA
1968-05-19,COMO-SONDRIO-VARESE,COMO,FINO MORNASCO
1968-05-19,COMO-SONDRIO-VARESE,COMO,GALBIATE
1968-05-19,TORINO-NOVARA-VERCELLI,NOVARA,TRAREGO VIGGIONA
1968-05-19,COMO-SONDRIO-VARESE,COMO,MONTEVECCHIA
1968-05-19,COMO-SONDRIO-VARESE,COMO,MONTICELLO
1968-05-19,COMO-SONDRIO-VARESE,COMO,MONTORFANO
1968-05-19,BRESCIA-BERGAMO,BRESCIA,IDRO
1968-05-19,COMO-SONDRIO-VARESE,COMO,OSSUCCIO
1968-05-19,TRENTO-BOLZANO,BOLZANO,MELTINA
1968-05-19,TRENTO-BOLZANO,BOLZANO,MERANO
1968-05-19,BRESCIA-BERGAMO,BRESCIA,MALEGNO
