Election_Date,Comune,Provincia,Regione,Circoscrizione
1987-06-14,ANDRATE,TORINO,PIEMONTE,TORINO-NOVARA-VERCELLI
1987-06-14,ANDREIS,PORDENONE,FRIULI VENEZIA GIULIA,UDINE-BELLUNO-GORIZIA-PORDENONE
1987-06-14,ANDRETTA,AVELLINO,CAMPANIA,BENEVENTO-AVELLINO-SALERNO
1987-06-14,ANDRIA,BARI,PUGLIA,BARI-FOGGIA
1987-06-14,ANDRIANO,BOLZANO,TRENTINO ALTO ADIGE,TRENTO-BOLZANO
1987-06-14,ANELA,SASSARI,SARDEGNA,CAGLIARI-SASSARI-NUORO-ORISTANO
1987-06-14,ANFO,BRESCIA,LOMBARDIA,BRESCIA-BERGAMO
1987-06-14,ANGERA,VARESE,LOMBARDIA,COMO-SONDRIO-VARESE
1987-06-14,ANGHIARI,AREZZO,TOSCANA,SIENA-AREZZO-GROSSETO
1987-06-14,ANGIARI,VERONA,VENETO,VERONA-PADOVA-VICENZA-ROVIGO
1987-06-14,ANGOLO TERME,BRESCIA,LOMBARDIA,BRESCIA-BERGAMO
1987-06-14,ANGRI,SALERNO,CAMPANIA,BENEVENTO-AVELLINO-SALERNO
1987-06-14,ANGROGNA,TORINO,PIEMONTE,TORINO-NOVARA-VERCELLI
1987-06-14,ANGUILLARA SABAZIA,ROMA,LAZIO,ROMA-VITERBO-LATINA-FROSINONE
1987-06-14,ANGUILLARA VENETA,PADOVA,VENETO,VERONA-PADOVA-VICENZA-ROVIGO
1987-06-14,ANNICCO,CREMONA,LOMBARDIA,MANTOVA-CREMONA
1987-06-14,ANNONE DI BRIANZA,COMO,LOMBARDIA,COMO-SONDRIO-VARESE
1987-06-14,ANNONE VENETO,VENEZIA,VENETO,VENEZIA-TREVISO
1987-06-14,ANOIA,REGGIO CALABRIA,CALABRIA,CATANZARO-COSENZA-REGGIO CALABRIA
1987-06-14,ANTEGNATE,BERGAMO,LOMBARDIA,BRESCIA-BERGAMO
1987-06-14,ANTERIVO,BOLZANO,TRENTINO ALTO ADIGE,TRENTO-BOLZANO
1987-06-14,ANTEY-SAINT-ANDRE',AOSTA,VALLE D'AOSTA,AOSTA
1987-06-14,ANTICOLI CORRADO,ROMA,LAZIO,ROMA-VITERBO-LATINA-FROSINONE
1987-06-14,ANTIGNANO,ASTI,PIEMONTE,CUNEO-ALESSANDRIA-ASTI
1987-06-14,ANTILLO,MESSINA,SICILIA,CATANIA-MESSINA-SIRACUSA-RAGUSA-ENNA
1987-06-14,ANTONIMINA,REGGIO CALABRIA,CALABRIA,CATANZARO-COSENZA-REGGIO CALABRIA
1987-06-14,ANTRODOCO,RIETI,LAZIO,PERUGIA-TERNI-RIETI
1987-06-14,ANTRONA SCHIERANCO,NOVARA,PIEMONTE,TORINO-NOVARA-VERCELLI
1987-06-14,ANVERSA DEGLI ABRUZZI,L'AQUILA,ABRUZZO,L'AQUILA-PESCARA-CHIETI-TERAMO
1987-06-14,ANZANO DEL PARCO,COMO,LOMBARDIA,COMO-SONDRIO-VARESE
1987-06-14,ANZANO DI PUGLIA,FOGGIA,PUGLIA,BARI-FOGGIA
1987-06-14,ANZI,POTENZA,BASILICATA,POTENZA-MATERA
1987-06-14,ANZIO,ROMA,LAZIO,ROMA-VITERBO-LATINA-FROSINONE
1987-06-14,ANZOLA D'OSSOLA,NOVARA,PIEMONTE,TORINO-NOVARA-VERCELLI
1987-06-14,ANZOLA DELL'EMILIA,BOLOGNA,EMILIA ROMAGNA,BOLOGNA-FERRARA-RAVENNA-FORLI'
1987-06-14,AOSTA,AOSTA,VALLE D'AOSTA,AOSTA
