Election_Date,Circoscrizione,Provincia,Comune
1958-05-25,CATANIA-MESSINA-SIRACUSA-RAGUSA-ENNA,CATANIA,ACI CATENA
1958-05-25,COMO-SONDRIO-VARESE,COMO,PONTE LAMBRO
1958-05-25,COMO-SONDRIO-VARESE,COMO,PORLEZZA
1958-05-25,COMO-SONDRIO-VARESE,COMO,PREMANA
1958-05-25,COMO-SONDRIO-VARESE,COMO,PRIMALUNA
1958-05-25,COMO-SONDRIO-VARESE,COMO,PROSERPIO
1958-05-25,COMO-SONDRIO-VARESE,COMO,PUSIANO
1958-05-25,COMO-SONDRIO-VARESE,COMO,RAMPONIO VERNA
1958-05-25,CUNEO-ALESSANDRIA-ASTI,ALESSANDRIA,MONTEMARZINO
1958-05-25,CUNEO-ALESSANDRIA-ASTI,ALESSANDRIA,MORANO SUL PO
1958-05-25,CUNEO-ALESSANDRIA-ASTI,ALESSANDRIA,MORBELLO
1958-05-25,CUNEO-ALESSANDRIA-ASTI,ALESSANDRIA,MORNESE
1958-05-25,CUNEO-ALESSANDRIA-ASTI,ALESSANDRIA,MORSASCO
1958-05-25,CUNEO-ALESSANDRIA-ASTI,ALESSANDRIA,MURISENGO
1958-05-25,CUNEO-ALESSANDRIA-ASTI,ALESSANDRIA,NOVI LIGURE
1958-05-25,CUNEO-ALESSANDRIA-ASTI,ALESSANDRIA,OCCIMIANO
1958-05-25,CUNEO-ALESSANDRIA-ASTI,ALESSANDRIA,ODALENGO GRANDE
1958-05-25,CUNEO-ALESSANDRIA-ASTI,ALESSANDRIA,ODALENGO PICCOLO
1958-05-25,CUNEO-ALESSANDRIA-ASTI,ALESSANDRIA,OLIVOLA
1958-05-25,CUNEO-ALESSANDRIA-ASTI,ALESSANDRIA,ORSARA BORMIDA
1958-05-25,CUNEO-ALESSANDRIA-ASTI,ALESSANDRIA,OTTIGLIO
1958-05-25,CUNEO-ALESSANDRIA-ASTI,ALESSANDRIA,MONTEGIOCO
1958-05-25,MANTOVA-CREMONA,CREMONA,SONCINO
1958-05-25,CUNEO-ALESSANDRIA-ASTI,ALESSANDRIA,SARDIGLIANO
