Election_Date,Regione,Collegio,Provincia,Comune,Voti_lista,Lista
1972-05-07,CALABRIA,COSENZA,NA,PATERNO CALABRO,5,PRI
1972-05-07,CALABRIA,COSENZA,NA,PATERNO CALABRO,16,PSDI
1972-05-07,CALABRIA,COSENZA,NA,PEDACE,5,PLI
1972-05-07,CALABRIA,COSENZA,NA,PEDACE,878,PCI-PSIUP
1972-05-07,CALABRIA,COSENZA,NA,PEDACE,31,MSI
1972-05-07,CALABRIA,COSENZA,NA,PEDACE,272,DC
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,BERNEZZO,22,PSDI
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,BERNEZZO,12,MSI
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,BORGO SAN DALMAZZO,107,PRI
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,BORGO SAN DALMAZZO,1001,PSI
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,BORGO SAN DALMAZZO,432,PLI
1972-05-07,UMBRIA,TERNI,NA,STRONCONE,57,PSDI
1972-05-07,TRENTINO-ALTO ADIGE,BRESSANONE,NA,BRUNICO,1163,TIROL.
1972-05-07,TRENTINO-ALTO ADIGE,BRESSANONE,NA,BRUNICO,370,PSI
1972-05-07,TRENTINO-ALTO ADIGE,BRESSANONE,NA,CAMPO DI TRENS,9,MSI
1972-05-07,TRENTINO-ALTO ADIGE,BRESSANONE,NA,CAMPO DI TRENS,694,PPST-PPTT
1972-05-07,TRENTINO-ALTO ADIGE,BRESSANONE,NA,CAMPO DI TRENS,15,DC
1972-05-07,TRENTINO-ALTO ADIGE,BRESSANONE,NA,CAMPO DI TRENS,231,TIROL.
1972-05-07,TRENTINO-ALTO ADIGE,BRESSANONE,NA,CAMPO DI TRENS,14,PSI
1972-05-07,TRENTINO-ALTO ADIGE,BRESSANONE,NA,CAMPO TURES,10,MSI
1972-05-07,TRENTINO-ALTO ADIGE,BRESSANONE,NA,CAMPO TURES,1249,PPST-PPTT
1972-05-07,TRENTINO-ALTO ADIGE,BRESSANONE,NA,CAMPO TURES,61,DC
1972-05-07,TRENTINO-ALTO ADIGE,BRESSANONE,NA,CAMPO TURES,377,TIROL.
1972-05-07,TRENTINO-ALTO ADIGE,BRESSANONE,NA,CAMPO TURES,24,PSI
1972-05-07,TRENTINO-ALTO ADIGE,BRESSANONE,NA,CASTELBELLO CIARDES,4,MSI
1972-05-07,TRENTINO-ALTO ADIGE,BRESSANONE,NA,CASTELBELLO CIARDES,636,PPST-PPTT
1972-05-07,TRENTINO-ALTO ADIGE,BRESSANONE,NA,CASTELBELLO CIARDES,19,DC
1972-05-07,TRENTINO-ALTO ADIGE,BRESSANONE,NA,CASTELBELLO CIARDES,317,TIROL.
1972-05-07,TRENTINO-ALTO ADIGE,BRESSANONE,NA,CASTELBELLO CIARDES,62,PSI
1972-05-07,TRENTINO-ALTO ADIGE,BRESSANONE,NA,CHIENES,7,MSI
1972-05-07,TRENTINO-ALTO ADIGE,BRESSANONE,NA,CHIENES,796,PPST-PPTT
1972-05-07,TRENTINO-ALTO ADIGE,BRESSANONE,NA,CHIENES,40,DC
1972-05-07,TRENTINO-ALTO ADIGE,BRESSANONE,NA,CHIENES,145,TIROL.
1972-05-07,TRENTINO-ALTO ADIGE,BRESSANONE,NA,CHIENES,10,PSI
1972-05-07,TRENTINO-ALTO ADIGE,BRESSANONE,NA,CHIUSA,30,MSI
1972-05-07,TRENTINO-ALTO ADIGE,BRESSANONE,NA,CHIUSA,1422,PPST-PPTT
1972-05-07,TRENTINO-ALTO ADIGE,BRESSANONE,NA,CHIUSA,127,DC
1972-05-07,TRENTINO-ALTO ADIGE,BRESSANONE,NA,CHIUSA,194,TIROL.
1972-05-07,TRENTINO-ALTO ADIGE,BRESSANONE,NA,CHIUSA,82,PSI
1972-05-07,TRENTINO-ALTO ADIGE,BRESSANONE,NA,CORNEDO ALL'ISARCO,27,MSI
1972-05-07,TRENTINO-ALTO ADIGE,BRESSANONE,NA,CORNEDO ALL'ISARCO,794,PPST-PPTT
1972-05-07,TRENTINO-ALTO ADIGE,BRESSANONE,NA,CORNEDO ALL'ISARCO,76,DC
1972-05-07,TRENTINO-ALTO ADIGE,BRESSANONE,NA,CORNEDO ALL'ISARCO,141,TIROL.
1972-05-07,TRENTINO-ALTO ADIGE,BRESSANONE,NA,CORNEDO ALL'ISARCO,105,PSI
1972-05-07,TRENTINO-ALTO ADIGE,BRESSANONE,NA,CORVARA IN BADIA,18,MSI
1972-05-07,TRENTINO-ALTO ADIGE,BRESSANONE,NA,CORVARA IN BADIA,281,PPST-PPTT
1972-05-07,TRENTINO-ALTO ADIGE,BRESSANONE,NA,CORVARA IN BADIA,161,DC
1972-05-07,TRENTINO-ALTO ADIGE,BRESSANONE,NA,CORVARA IN BADIA,13,TIROL.
1972-05-07,TRENTINO-ALTO ADIGE,BRESSANONE,NA,CORVARA IN BADIA,8,PSI
1972-05-07,TRENTINO-ALTO ADIGE,BRESSANONE,NA,CURON VENOSTA,24,MSI
1972-05-07,TRENTINO-ALTO ADIGE,BRESSANONE,NA,CURON VENOSTA,631,PPST-PPTT
1972-05-07,TRENTINO-ALTO ADIGE,BRESSANONE,NA,CURON VENOSTA,32,DC
1972-05-07,TRENTINO-ALTO ADIGE,BRESSANONE,NA,CURON VENOSTA,359,TIROL.
1972-05-07,TRENTINO-ALTO ADIGE,BRESSANONE,NA,CURON VENOSTA,15,PSI
1972-05-07,TRENTINO-ALTO ADIGE,BRESSANONE,NA,DOBBIACO,52,MSI
1972-05-07,TRENTINO-ALTO ADIGE,BRESSANONE,NA,DOBBIACO,847,PPST-PPTT
1972-05-07,TRENTINO-ALTO ADIGE,BRESSANONE,NA,DOBBIACO,161,DC
1972-05-07,TRENTINO-ALTO ADIGE,BRESSANONE,NA,DOBBIACO,192,TIROL.
1972-05-07,TRENTINO-ALTO ADIGE,BRESSANONE,NA,DOBBIACO,32,PSI
1972-05-07,TRENTINO-ALTO ADIGE,BRESSANONE,NA,FALZES,1,MSI
1972-05-07,TRENTINO-ALTO ADIGE,BRESSANONE,NA,FALZES,428,PPST-PPTT
1972-05-07,TRENTINO-ALTO ADIGE,BRESSANONE,NA,FALZES,4,DC
1972-05-07,TRENTINO-ALTO ADIGE,BRESSANONE,NA,FALZES,119,TIROL.
1972-05-07,TRENTINO-ALTO ADIGE,BRESSANONE,NA,FALZES,3,PSI
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,RITTANA,2,MSI
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,ROASCHIA,6,PRI
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,ROASCHIA,108,PSI
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,ROASCHIA,4,PLI
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,ROASCHIA,21,PCI-PSIUP
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,ROASCHIA,127,DC
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,ROASCHIA,7,PSDI
1972-05-07,PIEMONTE,CUNEO-SALUZZO,NA,ROASCHIA,5,MSI
